institution_number,domain
3614-EC3A5DE,thealdgateschool.org
6005-EC2Y8BB,clsg.org.uk
6006-EC4M9AD,spcs.london.sch.uk
6006-EC4M9AD,spcslondon.com
6007-EC4V3AL,cityoflondonschool.org.uk
1048-WC1N2NY,thomascoram.camden.sch.uk
1100-NW32NY,h3federation.org.uk
1100-NW32NY,heath.h3federation.org.uk
1101-NW13EX,camden-plss.camden.sch.uk
1101-NW13EX,robsonhouse.org.uk
2019-WC1H9EG,argyle.camden.sch.uk
2036-NW61QL,westhampstead.camden.sch.uk
2065-NW19AL,brecknock.camden.sch.uk
2078-N195DH,brookfield.camden.sch.uk
2184-NW11HQ,edithneville.camden.sch.uk
2219-NW32QT,fleet.camden.sch.uk
2290-NW18RP,hawley.camden.sch.uk
2436-NW13EX,netley.camden.sch.uk
2438-NW31HU,newend.camden.sch.uk
2475-NW18JL,primrosehill.camden.sch.uk
2502-NW53HB,rhylprim.camden.sch.uk
2507-NW10LL,rcobden.camden.sch.uk
2603-NW52SJ,torriano.camden.sch.uk
2775-NW32JB,gospeloakschool.com
2775-NW32JB,gospeloak.camden.sch.uk
2797-NW36NP,fitzjohns.camden.sch.uk
2841-NW52JA,eleanorpalmer.camden.sch.uk
3323-NW31JH,cchurchnw3.camden.sch.uk
3323-NW31JH,christchurchschool.co.uk
3327-NW14BD,cchurchnw1.camden.sch.uk
3340-NW61TF,emmanuel.camden.sch.uk
3352-NW36TX,hampsteadprim.camden.sch.uk
3359-NW35SQ,holytrinitynw3.camden.sch.uk
3359-NW35SQ,holytrinitynw3.co.uk
3361-NW18DE,holytrinitynw1.camden.sch.uk
3370-NW52TU,kentishtown.camden.sch.uk
3391-NW32AE,rosary.camden.sch.uk
3398-EC1N7SD,stalbans.camden.sch.uk
3398-EC1N7SD,stalbanscamden.co.uk
3441-WC1N2NX,stgeorge.camden.sch.uk
3482-WC2B5NA,stjosephs.camden.sch.uk
3517-NW64PG,stmarykilburn.camden.sch.uk
3521-NW11QP,stmp.camden.sch.uk
3560-NW53AH,lgflmail.org
3560-NW53AH,stpatricks.camden.sch.uk
3568-NW33DS,stpauls.camden.sch.uk
3649-NW64LS,steugene.camden.sch.uk
3655-NW10DP,ourladys.camden.sch.uk
4104-NW32BQ,h3federation.org.uk
4104-NW32BQ,haverstock.camden.sch.uk
4166-NW51RL,parliamenthill.camden.sch.uk
4196-NW11RX,regenthighschool.org.uk
4275-NW23RT,hampsteadschool.org.uk
4285-NW51UJ,aclandburghley.camden.sch.uk
4611-NW52DB,csg.school
4611-NW52DB,camdengirls.camden.sch.uk
4652-NW11LY,mariafidelis.camden.sch.uk
4688-NW51RN,williamellis.camden.sch.uk
5401-NW51RP,lsu.camden.sch.uk
5401-NW51RP,lasainteunion.org.uk
5950-WC1N3JH,gosh.camden.sch.uk
5950-WC1N3JH,goshschool.org
6013-NW35AE,stchristophers.london
6014-NW37SR,st-margarets.co.uk
6016-NW33EL,sarumhallschool.co.uk
6017-NW34NU,hallschool.co.uk
6018-NW36XH,ucs.org.uk
6038-NW17HB,cavendish-school.co.uk
6084-NW36PG,stmh.co.uk
6174-NW35RR,northbridgehouse.com
6179-NW34NY,herewardhouse.co.uk
6181-NW36NP,stanthonysprep.co.uk
6181-NW36NP,stanthonysprep.org.uk
6264-NW32PP,hampsteadhillschool.co.uk
6269-NW35UD,northbridgehouse.com
6295-NW33ET,trevor-robertsschool.co.uk
6307-NW35SS,shhs.gdst.net
6353-NW32YN,thevillageprepschool.com
6360-NW31DN,heathsideprep.co.uk
